"userName","content","score","reviewCreatedVersion","at","impact","app","platform","id","sentiment","accuracy"
"Robie Keane","aplikasi apaan ini ? kaga jelas foto ktp udh bener masa ga bisa bisa, masa iya hindari background biru gmna ceritanya bos? itu yg bikin dukcapil bos bukan gua ,kaga jelas","1","3.63.3","2024-06-22","Negative","Large2","Performa Aplikasi","46","Neutral","45"
"Muhammad Jamil","Mau tutup aja udah aplikasinya, limit kartu kredit cuma 3jt, annual fee 600rb, jomplang banget,mendingan kartu kredit BRI saya limit 22jt annual fee gratis seumur hidup,pokoknya bulan ini ga naik limit mendingan saya tutup saja udah,males pakek kartu kredit pelit limit","1","3.63.3","2024-06-21","Negative","Large2","Kebijakan dan Biaya","47","Negative","41"
"QilmanR Romansyah","Aplikasi yg sangat bagus membantu","5","3.61.0","2024-06-21","Positive","Large2","Performa Aplikasi","48","Positive","56"
"ros anti","ini baru app, tanpa basa-basi, pokoknya top layanannya. untuk UX ditingkatkan lagi. trimakasih dev.","5","3.63.1","2024-06-21","Positive","Large2","Performa Aplikasi","49","Positive","49"
"RIZKI ADITYA WIRATAMA","KAAA TOLONG LAH UINYA BIASA AJA KITA YG PENTING RINGAN FAST RESPON, MAU QR CODE AJA LAMA BETTT LOAD UI NYA DLL LAH GAK KE SEBELAH KADANG KITA LAGI URGENT SUKA KESEL NOTE RAM 16GB HP MAH LUMAYAN GAK KENTANG AMAT","5","3.63.3","2024-06-21","Positive","Large2","Performa Aplikasi","50","Neutral","39"
"Achmad Sulfiansyah","Ada apa ini? Lama tidak buka jenius, skalinya buka jenius kayak gk ada gunanya lagi. Wkwkw Rating play store hancur, aplikasi lemot, ngajuin flexi ulang"" ga tembus, padahal bank lain malah nawarin berbagai macam kredit. Tapi saya hnya mau di bank yang sudah saya pakai aj, tapi klo jenius gk bisa ngasih gini, lantas jenius kegunaannya dimana?? Sesuatu yang sudah tidak bermanfaat pasti akan di buang juga.. sama halnya dengan ini.. thx jeni sudah menemani beberapa waktu..","1","3.63.3","2024-06-21","Negative","Large2","Ketersediaan Fitur","51","Negative","39"
"SYARIF HIDAYATTULLAH","Mantap","5","3.63.1","2024-06-21","Positive","Large2","Performa Aplikasi","52","Positive","42"
"Haqi Prtama","Bisa2 nya tf ke bank lain tapi tidak ada laporan terkirimnya, dan juga tidak terkirim ke bank yang di tuju, saldo juga berkurang. Mohon di perbaiki di bagian laporan in and out nya Tanggapan dari pihak jeniusnya juga lama.","1","3.63.1","2024-06-21","Negative","Large2","Ketersediaan Fitur","53","Negative","33"
"Siti Karomah","Apk ribet baget mau masuk aja paswod salah melulu, padahal udh di riset, trs gmn mau byr tagihan","1","3.63.3","2024-06-21","Negative","Large2","Performa Aplikasi","54","Neutral","43"
"Aziz Sentoso","Gabisa bikin password padahal jaringan lancar","1","3.63.3","2024-06-21","Negative","Large2","Privasi dan Keamanan","55","Positive","45"
"Alva hizamul","feesible sampai 120rb","1","3.58.0","2024-06-21","Negative","Large2","Kebijakan dan Biaya","56","Positive","38"
"Asshidiqya Azzahra","Mudah ceoat","5","3.63.3","2024-06-21","Positive","Large2","Performa Aplikasi","57","Neutral","29"
"Rahmat Subrata","Good","5","3.63.3","2024-06-21","Positive","Large2","Performa Aplikasi","58","Positive","22"
"Indra v sy","Bintang 3 dulu..tunggu klwr menu paylater nya baru bintang 5","3","3.63.1","2024-06-20","Neutral","Large2","Ketersediaan Fitur","59","Positive","32"
"Rizky rahman","Jenius kaga adil, naik limit jenius flexi cash gak rata 😡 ad yg 3 bulan flexi cash nya di naik'in giliran saya sudah 4 bulan gak naik payah milih kasih seperti ibu tiri, nanti banyak berfikir yg lain naik, saya gak lebih baik angsuran di telat2 ini percumah data bagus klau jenius pilih2 nasabah 👎","2","3.63.1","2024-06-20","Negative","Large2","Pengalaman Pengguna","60","Negative","36"
"Fikih Ilman hidayat","Ini bank emang paling gila kalo soal potong memotong sma denda,,bayar lebih awal cma beda bbrapa jam kena penalty 100 ribu,,bercanda lu jenius...memiskinkan","1","3.63.3","2024-06-20","Negative","Large2","Kebijakan dan Biaya","61","Negative","37"
"Bagus Pribadi","Tolong di tingkat kan lagi agak ngelek dikit","5","3.63.1","2024-06-20","Positive","Large2","Ketersediaan Fitur","62","Negative","28"
"Amat Rusmana","Halo maaf ni pada Jenius cerita pengalamn dulu saya suka dg Jenius dan setiap hari menggunakannya namun setelah fitur"" yg di unggulkan yaitu Flexi cash & Paylater di akun Jenius saya di blokir padahal semua lancar dan lunas saya jadi jarang menggunakannya bikim ga semangat menggunakan untuk transaksi jadi kurang menarik setelah kedua fitur trsb hilang","2","3.63.1","2024-06-20","Negative","Large2","Pengalaman Pengguna","63","Neutral","44"
"Edi Suwarno","Kami daftar kok gak bisa vertikasi","5","3.63.3","2024-06-20","Positive","Large2","Ketersediaan Fitur","64","Neutral","36"
"Raihan Maulana","sumpah dah ini apk ngeselin nomernya salah satu angka salah aja masih bisa ke lanjut ga bisa di ulang🤦🏽‍♂️","1","3.63.1","2024-06-20","Negative","Large2","Performa Aplikasi","65","Negative","35"
"Fahdeung Borcess","Apk gaguna udah daftar ke logout mau login lg gabisa gajelas nih aplikasii tolol","1","3.63.3","2024-06-20","Negative","Large2","Performa Aplikasi","66","Positive","49"
"Julian Purbani","Saya cukup senang menggunakan jenius untuk transaksi sangat membantu, cuma adda sedikit kecewa sama Flexi case pdhl dpt limit Rp. 40jt200rb saat mau minjem malah dapet limit 10jt doang pdhl mau diinvestasikan ke tanah kavlingan ☹️ hade....","5","3.63.3","2024-06-20","Positive","Large2","Pengalaman Pengguna","67","Positive","40"
"Edward Tumanggor","Setelah Update, tidak bisa login lagi","1","3.63.3","2024-06-20","Negative","Large2","Pengalaman Pengguna","68","Negative","34"
"Ketut Budiasa","Pelayanan yg sangat mengecewakan,cicilan belum jatuh tempo dana sudah ditahan. Fix ngk akan ajukan pinjaman apapun disini. Semua dana yg masuk ditahan untuk angsuran yg belum jatuh tempo","1","3.63.3","2024-06-20","Negative","Large2","Kebijakan dan Biaya","69","Negative","40"
"Malik Chandra","untuk pemindahan rekening dari HP lain, apa harus ke bank dulu pak? soalnya HP satunya saya kamera depannya ga bisa","5","3.63.3","2024-06-20","Positive","Large2","Pengalaman Pengguna","70","Neutral","35"
"Cak Anom","Sistem pembayaran pinjaman flexi cash yg sangat tidak adil , kita tidak bisa leluasa bayar mana dulu pinjaman yang terlambat justru sistemnya sangat licik bukannya membayarkan secara urut tunggakan ketika kita isi saldo malah sistem auto bayarnya dibagi kesemua pinjaman ,. Dan sekarang ketika mau bayar lebih awal kena pinalti 50 rb padahal cicilannya cuma 100 rb an / bln ,sungguh aturan dg sistem pemerasan pd nasabah","1","3.63.3","2024-06-19","Negative","Large2","Kebijakan dan Biaya","71","Negative","39"
"Ismi Nurrizqi","Sumpah keren banget, bisa²nya baru tau aplikasi sekeren ini, aplikasinya cocok banget buat kalian yang nggak mau ribet, keren deh pokoknya","5","3.63.3","2024-06-19","Positive","Large2","Performa Aplikasi","72","Neutral","43"
"Mad Nur","Ka kalau lupa email sama pasword gimana ya","5","3.63.3","2024-06-19","Positive","Large2","Pengalaman Pengguna","73","Neutral","36"
"Hasan Selalu","aplikasi pling lemot,mau transaksi aja lemotnya minta ampun,biaya tf dan tarik tunai mahal,pokoknya aplikasi ribet","1","3.63.3","2024-06-19","Negative","Large2","Performa Aplikasi","74","Negative","49"
"Uwong Chocolatos78","Ngerii telat 1hari aja.. Denda 150.x telat 7 hari.. Udh kaya itu yang punya aplikasi wkwkwk.. Saya trus udh bayar kenpa saldo di tahan bukan nya masuk ek cicilan!!","1","3.63.3","2024-06-19","Negative","Large2","Performa Aplikasi","75","Negative","39"
"Suri Ono","Hampir semua komennya jelek. Emang kenyataanya semua yg komenny jelek itu kenyataan. Tidak bisa login...tidak bisa reset. Ribet.","1","3.63.3","2024-06-19","Negative","Large2","Privasi dan Keamanan","76","Negative","36"
"Indra Irwana","Gila ini aplikasi terlambat 1 hari biaya denda 150 ribu, itupun telat karena lupa karena sibuk, gak ada pemberitahuan tagihan ke whats up.. Lebih2 dari lintah darat nih aplikasi, lebih2 dari pinjol yg lain 1 hari telat parah dendanya. Gak bakal berkah","1","3.63.3","2024-06-19","Negative","Large2","Performa Aplikasi","77","Negative","41"
"Unnie Lien","Mantup mau transaksi apapun gampang pakek jenius","5","3.61.0","2024-06-19","Positive","Large2","Performa Aplikasi","78","Neutral","42"
"Yeti Setiawati","Jenius the Best","5","3.62.0","2024-06-19","Positive","Large2","Pengalaman Pengguna","79","Neutral","16"
"Dian pratama","Awas yang mau download aplikasi ini harap hati-hati ,, ini btpn cuma mau ngambil data kita saja setelah itu ga akan bisa login lagi di karnakan pin dan pasword salah padahal baru bikin dan baru aktivasi ,, mohon pikir 2 kali klo mau download aplikasi ini","1","3.63.1","2024-06-19","Negative","Large2","Privasi dan Keamanan","80","Positive","46"
"SELLY ARI ANGGRAENI","Aplikasi yang sangat baik dan banyak fitur yang dapat digunakan","5","3.63.1","2024-06-19","Positive","Large2","Ketersediaan Fitur","81","Positive","54"
"Sopian Ikhsan","Aplikasi yang sangat ribet bnr bnr ribet","1","3.63.1","2024-06-19","Negative","Large2","Performa Aplikasi","82","Negative","51"
"Gunawan Wan","Goodjob","5","3.63.3","2024-06-19","Positive","Large2","Performa Aplikasi","83","Positive","28"
"dhamar pradana","Kalo bisa jangan ada yg pake jenius deh, ga informatif kalo ada biaya lain hal. Ga di kasih tau ke nasabah ada biaya layanan aplikasi. Jangan sampe nyesel dikemudian hari","1","3.63.3","2024-06-19","Negative","Large2","Kebijakan dan Biaya","84","Neutral","48"
"Yogi Abdillah","Oke","5","3.63.1","2024-06-19","Positive","Large2","Performa Aplikasi","85","Positive","34"
"Keisya Aulia","Aplikasi yg sangat membantu banget","5","3.63.3","2024-06-19","Positive","Large2","Performa Aplikasi","86","Positive","52"
"aulia asteri","Hampir kena tipu sama Abang Abang di mall ,katanya di bakalan TF 1 JT tp saya TF balik . Masalahnya kalau di kerja di bank ini di tfnya pake bank ini tapi malah bank lain .jadi ga menjamin","1","3.63.3","2024-06-19","Negative","Large2","Privasi dan Keamanan","87","Neutral","30"
"Febi Anna","aplikasi payah, pasword sudah benar tapi di bilang salah terus. dan mau ganti pasword otp ga di kirim2. kalo ga bisa bikin aplikasi better jangan bikin lah, ini mah merugikan pengguna","1","3.63.3","2024-06-19","Negative","Large2","Performa Aplikasi","88","Positive","47"
"Barusaja 24","Gk ada limit credit Sudah nunggu lama sampai seminggu akhirnya di tolak Ngabisin kuota aja ni aplikasi","1","3.63.3","2024-06-19","Negative","Large2","Performa Aplikasi","89","Negative","39"
"Ria Eryasty","Udah masukin pin ttp gak bisa masuk. Telp cs nya gada yg angkat","1","3.63.3","2024-06-19","Negative","Large2","Performa Aplikasi","90","Positive","34"
"JKR","Sangat Memuaskan. Tks.","5","3.63.1","2024-06-19","Positive","Large2","Ketersediaan Fitur","91","Positive","33"
"ρҽɳƚαƚσɳιƈ ɱเɳσ૨","Harap di pertimbangkan - Untuk tukar US turunin dong jangan 10$ - Debit online kalo gagal karena sinyal atau saldo kurang jangan ada denda, bank lain gak kaya gitu","4","3.63.1","2024-06-19","Positive","Large2","Dukungan Pengguna","92","Negative","38"
"Rudy Tabuti","Aplikasi sangat buruk. GAK GUNA. Tidak rekomendasi. Verifikasi ribet.","1","3.63.1","2024-06-18","Negative","Large2","Performa Aplikasi","93","Negative","49"
"Wendy Manaor","Aplikasi yg sangat baguss ..dan membantu..makasih jenius","5","3.63.1","2024-06-18","Positive","Large2","Performa Aplikasi","94","Positive","51"
"Septia Nurkumala","Agak lemot","4","3.63.1","2024-06-18","Positive","Large2","Ketersediaan Fitur","95","Negative","35"
"Syahidah Nisa Aulia","Gua disuruh deteksi wajah sudah sesuai arah malah ga kedeteksi tolol bgt emg","1","3.63.1","2024-06-18","Negative","Large2","Performa Aplikasi","96","Positive","30"
"Akhirudin Akhirudin","Aplikasi sangat memuaskan","5","3.63.1","2024-06-18","Positive","Large2","Performa Aplikasi","97","Positive","60"
"Talita Rasya","Aplikasi lemot","1","3.63.1","2024-06-18","Negative","Large2","Performa Aplikasi","98","Positive","55"
"Dika Diva","Kapan aplikasi jenius kembali normal","1","3.63.1","2024-06-18","Negative","Large2","Performa Aplikasi","99","Neutral","44"
"Mr x","Halo pak.. ini kenapa tidak bisa login ... Sy mau masukkan pembayaran.. apa maksudnya ini aplikasi tdak bisa terbuka woee","5","3.63.1","2024-06-18","Positive","Large2","Performa Aplikasi","100","Negative","45"
