"username","content","score","version","at","impact","app","platform"
"cah ndeso","ayolah kenapa yg bumn kok payah amat ya app nya mau daftar mentok di tahap  gak ada notif gagal apa gimana di klik lanjut gak mau kagak ada keterangan kenapa","1","5.5.0","2023-10-02","Negative","pds","Android"
"New Beat","tidak puas dengan pelayanan wa online nya dan cara kolektor nagih nya ikut campur keuangan pribadi nasabahterima kasih","1","5.5.0","2023-10-02","Negative","pds","Android"
"Araflin","dari kemarin tidak bisa login keterangan  oops silahkan coba lagi sudah dicoba berkalikali tetap tidak bisa update akhirnya bisa dipake lagi tingkatkan terus pelayanannya harapan kedepan saat maintenance bisa di infokan","5","5.5.0","2023-10-02","Positive","pds","Android"
"Lukman Pecinan","cicil emas sudah saya bayar tapi tidak ada notifikasi pembayaran berhasilalhasil dana saya nyangkut gak tahu dimana parah banget pelayanannya sangat tidak rekomen  lelet dan gak ada kejelasan dana saya","1","5.5.0","2023-10-02","Negative","pds","Android"
"basheera Group","sungguh tidak nyaman","1","5.5.0","2023-10-02","Negative","pds","Android"
"Santi Meilani","apaaaan uang saya sudah transfer buat pembukaaan rekening sampe  kali tapi aneh banget ga muncul notif apa apa kan keselll uang melayang  gitu aja","1","5.5.0","2023-10-01","Negative","pds","Android"
"Herlianti Kusuma Wardani","aplikasi lelettttt","1","5.5.0","2023-10-01","Negative","pds","Android"
"imam sadaruddin","mengecewakan sekali gara² saya ganti no hp gk bisa log in ke aplikasi proses verifikasi melalui no hp lama yg sdh tidak  aktif lg padahal ada opsi lain melalui email pernah di urus secara offline di kantor cabang pegadaian jawaban petugas harus di laporkan dahulu ke it kantor pusat dan sudah  bulan ini tidak ada kejelasan solusinya mohon solusi nya karena saya kesulitan log in ke aplikasi dan akhirnya mempersulit saya bertransaksi di pegadaian","1","5.4.0","2023-10-01","Negative","pds","Android"
"Agustiadi Tanjung","jujur pegadaian sudah menerima ratusan keluhan aplikasi nya lemot parah dari pelanggannya sampai hari ini tidak ada perubahan dari pihak pegadaian bagaimana ini pegadaian  masa bisa kalah dari pinjol yg ilegal aplikasinya","1","5.5.0","2023-10-01","Negative","pds","Android"
"Nur Hayati","ini gimana sistem nya buruk banget min suruh login trusss","2","5.5.0","2023-10-01","Negative","pds","Android"
"muhamad yusup","cara menabung emas yang benar dan mudah penggunaanya  tapi kadang kode voucher tidak bisa digunakan terutama promo gajian emas dan undian tidak pernah dapat sekalipun sudah punya lembar","5","5.5.0","2023-10-01","Positive","pds","Android"
"Puspa Prakosa","percuma udh dtng di pengadain di tolak alasan yang di gadaikan bukan smart tv tetapi iklan nya tv bisa kecewa bngt","1","5.5.0","2023-09-30","Negative","pds","Android"
"Ricky Rizkyanto","mau update ke premium stuck di silahkan tunggu ga proses ga balik lg tolong di perbaiki klo udah bisa di perbaiki lagi bintang nya","3","5.5.0","2023-09-30","Neutral","pds","Android"
"sony Raharjo","jadikan citra pegadaian digital milik pemerintah menjadi sumber terpercaya bagi masyarakat","1","5.4.0","2023-09-30","Negative","pds","Android"
"Agus Maulana","aplikasi ga jelas top up aja susah tiba tiba metode pembayaran ga bisa di akses","1","5.5.0","2023-09-30","Negative","pds","Android"
"Fuadhi Hilmy fauzan","stuck di logo pegadaian padahal ada infes emas didalam takut keras sekarang di apk ini","1","5.5.0","2023-09-29","Negative","pds","Android"
"Restu Jati Prayogi","banyak bug","1","5.5.0","2023-09-29","Negative","pds","Android"
"Selvia Sinulingga","kecewa asli kenapa sih aplikasi nya buruk banget aku udah berkali instal ulang sama hapus sampah nya tapi tetap nggak bisa masuk kecewa banget sama aplikasi pegadaian ini","1","5.5.0","2023-09-29","Negative","pds","Android"
"Kinanti Alingga","ngerasa app ini kurang okee jauh bgt dr applikasi yg lain setelah liat review ternyata merasa tidak sendiri seharusnya ditingkatkan lagi karena app ini kurang membantu sbg nasabah sudah berekpektasi terlalu tinggi krn ini perusahaan bumn","1","5.5.0","2023-09-29","Negative","pds","Android"
"Yuny Indryani","siipppgames mudah","5","5.5.0","2023-09-29","Positive","pds","Android"
"icha yulisa sofiana","gak bisa masuk kode otp baru masuk saat usah abis kirim ulangnya","3","5.5.0","2023-09-29","Neutral","pds","Android"
"TEKNISI OKESHOP","sudah boking melalui aplikasi sama aja tetap antri juga no telpon kantornya nya pun gak respon kalau di telpon parah  petugas yg di cp mandala nya pun agak arogan macam betul kali gaya nya","2","5.5.0","2023-09-28","Negative","pds","Android"
"Jogi Situmorang","keren","5","5.5.0","2023-09-28","Positive","pds","Android"
"fitra rachmad dian","pelan menghindari riba dengan menabung emas","5","5.5.0","2023-09-28","Positive","pds","Android"
"Ragil Ariyanto","aplikasi apaan ini login aja susah sampah","1","5.5.0","2023-09-28","Negative","pds","Android"
"Muhamad Irkham","coba pelanggan di mudahkn dong kasih pembayaran lewat ewalet seperti dana","4","5.5.0","2023-09-28","Positive","pds","Android"
"Dewi Tri","bintang satu karena super susah masuk nyaselalu berhenti sendiri dan tidak menanggapi apksudah dilaporkan bug everytime setiap buka malah keluar sndiri padahal mau transaksi tabungan emasbintan minus satu klo ada mahsy udh instal ulangudh update masih we","1","5.5.0","2023-09-28","Negative","pds","Android"
"Muh Zhacky","good","5","5.5.0","2023-09-27","Positive","pds","Android"
"Muhammad Al Baihaqi","emas saya jual setengah dari stock emas yang ada malah tulisannya saldo emas anda tidak cukup g jelas banget","1","5.5.0","2023-09-27","Negative","pds","Android"
"Mahmed Furqhaan","unik ya transaksi tabungan emas di pegadaian digital pas sebelum milih metode pembayaran di bilang free admin eh setelah milih metode langsung kena charge dong wkwk","3","5.5.0","2023-09-27","Neutral","pds","Android"
"mustakin kahala","alplikasinya jelek gak bisa di buka","3","5.5.0","2023-09-27","Neutral","pds","Android"
"Helen Tambunan","tidak bisa masuk ke aplikasi saya tlfn hotline cs pegadaian tp respon mereka disuruh update lah di playstore nya aja blm ada arahan utk update ke versi  gmna y","3","5.5.0","2023-09-27","Neutral","pds","Android"
"suyanto chacha","kok ndak bisa masuk lagi ya pakai paswood bilang paswood salah pakai sidik jari juga ndak bisa gemana solusinya ni","3","5.5.0","2023-09-27","Neutral","pds","Android"
"Kathrine Wang","aplikasinya baik dan sangat membantu","5","5.5.0","2023-09-27","Positive","pds","Android"
"hadi wibowo","aplikasi busuk tidak bisa login alasan belibet baru kali ini aplikasi busuk masih kepajang di playstore","1","5.5.0","2023-09-27","Negative","pds","Android"
"dinni wulandari","bagus banget aplikasinya sangat membantu  mempermudah masyarkat","5","5.5.0","2023-09-27","Positive","pds","Android"
"Nur Faizah","memudahkan bagus","5","5.5.0","2023-09-27","Positive","pds","Android"
"Sari Sukmawaty","mudah dipahami dan sangat membantu","5","5.0.0","2023-09-27","Positive","pds","Android"
"riska rahmawati","pegadaian mantaaap sukses terus untuk pegadaian","5","5.5.0","2023-09-27","Positive","pds","Android"
"Nurlena Gucci","ada apa lagi ini knp tidak  bs di buka","1","5.5.0","2023-09-27","Negative","pds","Android"
"Fransiscus Simamora","bagus  ramah","5","5.5.0","2023-09-27","Positive","pds","Android"
"adi","mantaab tidak lagi dengan cara manuaal","5","5.5.0","2023-09-27","Positive","pds","Android"
"Rayhan Pratama","gak bisa dibuka aplikasi nya sama aja pak setelah dihapus cache nya tetap gak bisa","1","5.5.0","2023-09-27","Negative","pds","Android"
"Wahyu Tri Purnamasari","good","5","5.5.0","2023-09-27","Positive","pds","Android"
"Ahmad Rivai","nagus","5","5.5.0","2023-09-27","Positive","pds","Android"
"Iis Diah","keren","5","5.5.0","2023-09-27","Positive","pds","Android"
"Laras Anjanie","bagusss banget aplikasinya","5","5.5.0","2023-09-27","Positive","pds","Android"
"Ronny Sulistyo","good","5","5.5.0","2023-09-27","Positive","pds","Android"
"ahmadi nainggolan","sudah hri ini tidak bsa akses login ke apk pegadaiaan smkin aneh aja","1","5.5.0","2023-09-27","Negative","pds","Android"
"Andreas Putra Purba","mantap","5","5.4.0","2023-09-27","Positive","pds","Android"
"Dimas Prenanda","aplikasi apa inilelet nya minta ampun hoi kalian niat bikin aplikasi ini gag sihgag nyaman bgt aplikasi bya","1","5.5.0","2023-09-27","Negative","pds","Android"
"Rin Sakura","susah ligin nya klo mau pilh menu jga gagal terus🤦‍♀️","1","5.5.0","2023-09-27","Negative","pds","Android"
"Ima Saadiyah","sangat bermanfaat","5","5.5.0","2023-09-27","Positive","pds","Android"
"Ibnu Adyan","demi supenir","5","5.5.0","2023-09-27","Positive","pds","Android"
"Alimusliqin Musliqin","aplikasi nggak jelasudah terlanjur beli emashabis  eh aplnya nggak jelas klo mau nabung di bank ajanggak usah di sini🤦🤦🤦","1","5.5.0","2023-09-27","Negative","pds","Android"
"pribu eko","aplikasi engga jelas udah login keluar sediri","1","5.5.0","2023-09-27","Negative","pds","Android"
"Aldi Fajar","mohon di perbaiki sistem nya karena sistem beberapa bulan ini lelet","2","5.5.0","2023-09-27","Negative","pds","Android"
"Muhammad Faizal AF","bagus","5","5.5.0","2023-09-27","Positive","pds","Android"
"Fathian Fatwa","hari muter terus ngk bisa dibuka jangan kan beranda masuk ke aplikasi aja ngk bisa kiraen maintenance tau nya dibuka jam berapa pun gak bisa 😩","1","5.5.0","2023-09-27","Negative","pds","Android"
"Rais ilham","bagus memudahkan pengguna","5","5.5.0","2023-09-27","Positive","pds","Android"
"Irmawati idris","pegadaian kalau mau kerjasama dengan shopee yang punya platform gede harusnya kalian harus benar siap kalian punya sistem masih dibawah rata registrasi nasabah aja nunggu lama banget itupun kalau berhasil kalau gagal terus percumapliz perbaiki sy dengan terpaksa uninstall ajapercuma","1","5.5.0","2023-09-27","Negative","pds","Android"
"Ivan Fachri","apk tidak bisa di bukatolong segera di perbaiki","1","5.5.0","2023-09-27","Negative","pds","Android"
"adedhitta vianda","aplikasinya mantep bangett","5","5.5.0","2023-09-27","Positive","pds","Android"
"MINOT KISSOT Official","pegadian buruk","1","5.5.0","2023-09-27","Negative","pds","Android"
"Krisna Adib Setiawan","untuk sekarang aplikasinya payah ketika mau login selalu gagal mohon ada perbaikan","3","5.5.0","2023-09-27","Neutral","pds","Android"
"Maria Sianturi","akun tidak jelas lemot pelayanan juga lambat buka tabungan sudah bayar untuk pembukaan tapi tabungan tidak terbuka harus menunggu  hari kerja aplikasi bukannya membantu agar nasabah tidak ribet ini malah habisin waktu  hari buat nunggu belum tentu juga tabungan terbuka bisa jadi dana di refund kemudian buka ulang","1","5.5.0","2023-09-27","Negative","pds","Android"
"Muhammad Amri Syahreza","masalah aplikasi tidak bisa dipakai minta solusi ke cs wa tetapi yang diberikan hanya solusi itu saja yang sudah saya kerjakan semua tapi tidak berhasil aplikasi dan it tidak bagus saya pakai aplikasi ini karena males antri bayar","1","5.5.0","2023-09-27","Negative","pds","Android"
"Titania Cahyati","aplikasi busuk","1","5.5.0","2023-09-27","Negative","pds","Android"
"Mimi Ptk","sangat membantu","5","5.5.0","2023-09-27","Positive","pds","Android"
"Rafly Suzuki Ternate","ga bisa login udah daftar boongan","1","5.5.0","2023-09-27","Negative","pds","Android"
"Widiyanto Eko","aplikasi gak jelasduit sudah didalam malah gak bisa dibuka","1","5.5.0","2023-09-26","Negative","pds","Android"
"Septiyadi","tidak bisa login gmna mau top upgak becus ini yg jaga app","1","5.5.0","2023-09-26","Negative","pds","Android"
"Abdul Razak","kenapa aplikasinya tidak bisa masuk padahal user dan password sudah sesuai jaringan juga stabil","1","5.5.0","2023-09-26","Negative","pds","Android"
"nia djabbar","kenapa aplikasinya malah tidak bisa login padahal jaringan bagus","1","5.5.0","2023-09-26","Negative","pds","Android"
"Yusuf Maulana","gak bisa masuk akun padahal username dan password benar","1","5.5.0","2023-09-26","Negative","pds","Android"
"dewi yusnita","koq habis di upgrade ngga bisa login lagi tolong diperbaiki ya min susah mau bolak balik ke kantor cabang","1","5.5.0","2023-09-26","Negative","pds","Android"
"Nur Rezky","tolong dibenahi lagi aplikasinya sudah banyak masukan dr pengguna tp tidak ada perbaikan👎 gak bisa log in sama sekali sekelas pegadaian tp tidak memperhatikan sistem dengan baik","1","5.5.0","2023-09-26","Negative","pds","Android"
"Piyunk Miyunk","bagusss bgttttt pokoknyaaaa","5","5.5.0","2023-09-26","Positive","pds","Android"
"Nissa dap","hbis update malah g bisa dipake gmn si g bisa login","1","5.5.0","2023-09-26","Negative","pds","Android"
"Deddi Martin","alhamdulillah bisa buat investasi jangka panjang","5","5.5.0","2023-09-26","Positive","pds","Android"
"Lukas Jalu Adi Laksita","upgrade akun susah bgt udah seminggu lebih nggak terproses update terimakasih min sdh direspon","5","5.5.0","2023-09-26","Positive","pds","Android"
"Siti Aminahjenisjau","bagus sangat membantu saya","5","5.5.0","2023-09-26","Positive","pds","Android"
"Mlatifr Aldi","rrencana emasku kok ilang semua siapa yg ganti rugi kalau gini pas buka fitus rencana emas semua tabungan renca emasku ilang pegadaian kemablikan emasku","1","5.5.0","2023-09-25","Negative","pds","Android"
"Muhammad Hanafi","lemot lelet error kayak siput","1","5.5.0","2023-09-25","Negative","pds","Android"
"AGUS HARYADI","biasa saja","3","5.5.0","2023-09-25","Neutral","pds","Android"
"Pinky Kariady","bagus🙏","5","5.5.0","2023-09-25","Positive","pds","Android"
"FM23 MOBILE","kok malah ga bisa di buka sih gimana aplikasi ini mana banyak tabungan saya woyyy","1","5.5.0","2023-09-25","Negative","pds","Android"
"SILABAN II OFFICAL II","kinerja bagus","5","5.5.0","2023-09-25","Positive","pds","Android"
"ABDUL RAHMAN OFFICIAL","knp susah bget di buka aplilasinya hampir  bulan coba lagicoba lagi terus gk bisa di buka","1","5.5.0","2023-09-25","Negative","pds","Android"
"Chandra Dra","kenapa aplikasi pegadaian digital sekarang gak bisa login keterangan nya selalu oopscoba lagi","1","5.5.0","2023-09-25","Negative","pds","Android"
"Febriana S. Tinamba","ada kode promonya aktif tapi saat pembayaran kode promonya hilang","1","5.4.0","2023-09-25","Negative","pds","Android"
"Pompy yakuza88","untuk rubah data no hp susah nya dan sudah kecabang malah suruh buat akun barumohon diperbaiki lagi","1","5.4.0","2023-09-24","Negative","pds","Android"
"Asep RD","error mulu susah buat transaksi","1","5.5.0","2023-09-24","Negative","pds","Android"
"Linggar Eko","ini kenapa aplikasi ga bisa dibuka udh  hari lebih tolong segera diperbaiki","1","5.5.0","2023-09-24","Negative","pds","Android"
"nuke shapira","jaringan selalu lelet","3","5.5.0","2023-09-24","Neutral","pds","Android"
"Kemas Reno","tolong diperbaiki dong aplikasinya biar transaksi lebih mudah","3","5.5.0","2023-09-23","Neutral","pds","Android"
"Anggun Kurnia","sy mau gadai tabungan emas bisakah registrasi gadai tabungan emas dilakukan tanpa datang ke kantor cabang terdekat🙏","5","5.5.0","2023-09-23","Positive","pds","Android"
"Anggi Prastia","kenapa gak bisa login tapi jaringan lancar","1","5.5.0","2023-09-23","Negative","pds","Android"
"Putri Syaren","mohon konfirmasi segera kenapa hari ini tgl  sept  apl pegadaian tidak bisa di buka  saya coba berkali  malah disuruh buat akun baru akun lama saya kosong ada apa dengan aplikasi pegadaian hr ini","2","5.5.0","2023-09-23","Negative","pds","Android"
"Jou Fier","aplikasi jelek mau daftar aja susah banget otp udh  kali nyoba error semua kodenya sms otp bisa  menit baru dikirim kodenya","1","5.5.0","2023-09-23","Negative","pds","Android"
"Tasman Tahir","mantap","5","5.5.0","2023-09-23","Positive","pds","Android"
"Micx Donal","aplikasinya tidak bisa dibukak tolong perbaiki sistem nya bos","1","5.5.0","2023-09-23","Negative","pds","Android"
"Viona Triaadillah","kenapa si udah  hari ini gak bisa d buka gak ada info perbaikan atau apa udh berkali saya buka coba lagi katanya gak bisa d buka","1","5.5.0","2023-09-23","Negative","pds","Android"
"Bambang ESA","yang lain makin bagus ini makin busuk","1","5.5.0","2023-09-22","Negative","pds","Android"
"widya kurniawati","kenapa saya tidak bisa login ke aplikasi pegadaian digital padahal passwordnya benar terus saya coba pake finger print juga tak bisa malah muncul pemberitahuan suruh buka pakai finger printface id","2","5.5.0","2023-09-22","Negative","pds","Android"
"Loe Aban","buat masuk aplikasinya aja susah lodingnya kenapa tuh","1","5.5.0","2023-09-22","Negative","pds","Android"
"Ilyas Lias","sebelumnya aplikasi ini sangat baik dan mempermudahtapi entah kenapa setelah pernah perbaikan malah sistem nya tambah buruktolong diperbaiki lagikendala saya saat ini adalah tidak bisa login keaplikasi","1","5.5.0","2023-09-22","Negative","pds","Android"
"Hendry Vernandes","saya tidak bisa log in hari inikenapa ya","2","5.5.0","2023-09-22","Negative","pds","Android"
"Rendi Setiawan","aplikasi kenapa begini tadi pagi jam  masih bisa di bukak terus pas mau beli produk login akun gak bisa masuk padahal user id sama password betul malah ada notif oopps coba lagi apanya yg di coba tolonglah perbaiki lagi sistemnya karena banyak uang rakyat disinii termasuk saya","1","5.5.0","2023-09-22","Negative","pds","Android"
"Dodi Firgo","kok lelet sekarang sudah  hari tidak bisa buka aplikasi","1","5.5.0","2023-09-22","Negative","pds","Android"
"maju bersama Ban","aplikasi tambah buruksusah login","1","5.5.0","2023-09-21","Negative","pds","Android"
"Micael Runtuwene","saya tebus pake aplikasi inistatus va bank sudah suksestp di pegadaian masih ada tagihansaya disuru k bank buat ceksaya cek bank katanya disuru cek pegadaianmodel perusahaan kaya apa kalian saya hubungi call centre disuru nunggu  hariwoy saya sudah bayarsaldo saya berkurangteruss maksud kalian apa","1","5.5.0","2023-09-21","Negative","pds","Android"
"Teguh Ramadhany","aplikasi eror terus","2","5.5.0","2023-09-21","Negative","pds","Android"
"RINA ZAHARA","sangat membantu","4","5.5.0","2023-09-21","Positive","pds","Android"
"aryanto","sangat kecewa knapa saldo tabungan emasnya tidak bertambah padahal transaksi pembayaran sudah sukses tapi saldo tidak bertambah bukti pembayaran juga ada harus komplen kemana ini tolong diperbaiki lagi sistemnya agar tidak merugikan kami para nasabah","2","5.5.0","2023-09-21","Negative","pds","Android"
"Ashillah Aqeela","aplikasi paling lelet ampunnnn trs aja muter ga berhasil isi data nasabah juga","1","5.5.0","2023-09-21","Negative","pds","Android"
"Meimei Santy","butuh dana cepat","5","5.5.0","2023-09-21","Positive","pds","Android"
"andi muliawan","pelayanan buruk proses pembuatan akun dari tanggal  sept sampai sekarang  sept belum jadi kalu mau investasi baiknya hindari yang ini cari yang lain aja","1","5.5.0","2023-09-21","Negative","pds","Android"
"Condor Ajah4","mengecewakan ada sesalahan sedikit data dah lapor hampir satu minggu belum ada respon dari kantor pusat sangat mengecewakan  kalau belum siap manual aja","1","5.5.0","2023-09-21","Negative","pds","Android"
"Move your head I can't see the screen","daftar aja ga isa down apa servernya cari team it ny jgn yg magang dong","1","5.5.0","2023-09-20","Negative","pds","Android"
"moch yusuf","udh pengajuan di aplikasi notifnya berhasil tapi setelah kantor cabangnya gak bisa udh chat admin malah jawabannya kantor cabang punya kebijakan masing masing","1","5.5.0","2023-09-20","Negative","pds","Android"
"Weili Kind","klo dana tanggung jangan nabung dsini rugi","1","5.5.0","2023-09-20","Negative","pds","Android"
"Josua febriyan Manurip","tolong dibenahin untuk otp nya masa ubah no tlp yg sdh tidak aktif  tidak bisa dilakukan sudah bolak balik kekantor cabang jawabannya sulit","1","5.5.0","2023-09-20","Negative","pds","Android"
"Mey Ratu Artha","ok","5","5.5.0","2023-09-19","Positive","pds","Android"
"muthia nuriah","raib  juta pegadaian digital innalillahi ini aplikasi perampok 😭😭😭😭 nomor hape saya ganti krn nomor lama sdh ga aktif tapi ternyataaa verifikasinya cuma ada satu cara yaitu verifikasi online ini sudah x tiba² jaringannya putus saya masih bisa lihat pegawainya tp bilangnya suara saya tidak terdengar dan dimatikan sepihak harus berapa lamaa begini kenapa verifikasi harus video call sistem kalian yg sampah nasabah yg disalahin jaringannya jelek modus penipuan","1","5.5.0","2023-09-19","Negative","pds","Android"
"Arby Arrazka","dari bulan agustus  sampai saya tulis ulasan ini apk pegadaian digital masih tidak  bisa dibuka tolong tim it nya masa lama sekali maintenance nyasangat mengganggu kalau mau transaksi via aplikasi","1","5.5.0","2023-09-19","Negative","pds","Android"
"Danu Damara","susah masukribet nya minta ampunsalah pin aja untuk reset pin ribet harus ke kantor perbaiki aplikasinya","1","5.5.0","2023-09-19","Negative","pds","Android"
"MikeKenji Shinoda","di tingkatkan lg apk nya masih banyak bug mau apa² serba ngga bisa di suruh ke outlet terus lalu apa gunanya pegadaian digital","2","5.5.0","2023-09-19","Negative","pds","Android"
"Goem Julian","ini orang yg kerja di aplikasinya orang goblog semua kali yamaksain bgt sih pengen punya aplikasi digitaltapi aplikasinya ancur bgt","1","5.5.0","2023-09-18","Negative","pds","Android"
"Jafar Sujen","min ini gimana loginnya ganti hape kok gak bisa masuk lagi kode otp nya kok gak di kirim","2","5.4.0","2023-09-18","Negative","pds","Android"
"Choirum Bahria","disuruhnya bikin pin pin uda bener katanya gagal terus sampe ke blokir gila kali ini aplikasi sampah mana ribet lagi mau jual tabungan sendiri aja dipersulit","1","5.5.0","2023-09-18","Negative","pds","Android"
"Daru Pusaka","aplikasi sekelas bumn harusnya tau kebutuhan clientnya masa fitur nama tanda petik saja tidak ada udh terlanjur nabung emas tp gabisa diambil ke kcp terdekatpun ga bisa ngerubah nama jatuhnya kaya aplikasi sodakoh aja","1","5.4.0","2023-09-18","Negative","pds","Android"
"Brilliananda Nugraha","untuk username apabila terjadi kesalahan input pada nama tidak ada menu untuk mengganti username","3","5.5.0","2023-09-17","Neutral","pds","Android"
"Jeprix Go","kebiasaan aplikasi plat merah mesti jelek  selalu nanggung  entah gak bisa bayar tenaga it atau it nya tenaga magang pokoke gak keren","1","5.5.0","2023-09-17","Negative","pds","Android"
"Jumarni Criwiss","kenapa gak bisa log in padahal pasword nya udah benar malah terkunci😠","3","5.4.0","2023-09-17","Neutral","pds","Android"
